seqid	source	type	start	end	score	strand	phase	ID	Name	collected-by	culture-collection	gbkey	strain	type-material	gene_biotype	locus_tag	old_locus_tag	Parent	Ontology_term	go_function	go_process	product	protein_id	gene	go_component	anticodon	bound_moiety	regulatory_class	gene_synonym	partial	transl_except	rpt_family	rpt_unit_range	rpt_unit_seq
NZ_CP065640.1	RefSeq	gene	529	2214	.	+	.	gene-I6G83_RS00010	I6G83_RS00010			Gene			protein_coding	I6G83_RS00010	I6G83_00010																	
NZ_CP065640.1	Protein Homology	CDS	529	2214	.	+	0	cds-WP_054306719.1	WP_054306719.1			CDS				I6G83_RS00010		gene-I6G83_RS00010	GO:0007165,GO:0000155,GO:0004673,GO:0005524	phosphorelay sensor kinase activity|0000155||IEA,protein histidine kinase activity|0004673||IEA,ATP binding|0005524||IEA	signal transduction|0007165||IEA	sensor histidine kinase	WP_054306719.1											
NZ_CP065640.1	RefSeq	gene	2222	2956	.	+	.	gene-I6G83_RS00015	I6G83_RS00015			Gene			protein_coding	I6G83_RS00015	I6G83_00015																	
NZ_CP065640.1	Protein Homology	CDS	2222	2956	.	+	0	cds-WP_054306720.1	WP_054306720.1			CDS				I6G83_RS00015		gene-I6G83_RS00015	GO:0003677	DNA binding|0003677||IEA		LytTR family DNA-binding domain-containing protein	WP_054306720.1											
NZ_CP065640.1	RefSeq	gene	2957	3244	.	-	.	gene-I6G83_RS00020	I6G83_RS00020			Gene			protein_coding	I6G83_RS00020	I6G83_00020																	
NZ_CP065640.1	Protein Homology	CDS	2957	3244	.	-	0	cds-WP_054306721.1	WP_054306721.1			CDS				I6G83_RS00020		gene-I6G83_RS00020				DUF2502 domain-containing protein	WP_054306721.1											
NZ_CP065640.1	RefSeq	gene	3632	4855	.	+	.	gene-I6G83_RS00025	I6G83_RS00025			Gene			protein_coding	I6G83_RS00025	I6G83_00025																	
NZ_CP065640.1	Protein Homology	CDS	3632	4855	.	+	0	cds-WP_054306722.1	WP_054306722.1			CDS				I6G83_RS00025		gene-I6G83_RS00025	GO:0055085,GO:0022857	transmembrane transporter activity|0022857||IEA	transmembrane transport|0055085||IEA	OFA family MFS transporter	WP_054306722.1											
NZ_CP065640.1	RefSeq	gene	4918	5880	.	-	.	gene-I6G83_RS00030	glk			Gene			protein_coding	I6G83_RS00030	I6G83_00030							glk										
NZ_CP065640.1	Protein Homology	CDS	4918	5880	.	-	0	cds-WP_015673249.1	WP_015673249.1			CDS				I6G83_RS00030		gene-I6G83_RS00030	GO:0006096,GO:0051156,GO:0004340,GO:0005524,GO:0005536	glucokinase activity|0004340||IEA,ATP binding|0005524||IEA,glucose binding|0005536||IEA	glycolytic process|0006096||IEA,glucose 6-phosphate metabolic process|0051156||IEA	glucokinase	WP_015673249.1	glk										
NZ_CP065640.1	RefSeq	gene	6044	6739	.	-	.	gene-I6G83_RS00035	I6G83_RS00035			Gene			protein_coding	I6G83_RS00035	I6G83_00035																	
NZ_CP065640.1	Protein Homology	CDS	6044	6739	.	-	0	cds-WP_054306723.1	WP_054306723.1			CDS				I6G83_RS00035		gene-I6G83_RS00035				aspartate/glutamate racemase family protein	WP_054306723.1											
NZ_CP065640.1	RefSeq	gene	6807	7247	.	-	.	gene-I6G83_RS00040	I6G83_RS00040			Gene			protein_coding	I6G83_RS00040	I6G83_00040																	
NZ_CP065640.1	Protein Homology	CDS	6807	7247	.	-	0	cds-WP_015673251.1	WP_015673251.1			CDS				I6G83_RS00040		gene-I6G83_RS00040				multidrug/biocide efflux PACE transporter	WP_015673251.1											
NZ_CP065640.1	RefSeq	gene	7348	8214	.	+	.	gene-I6G83_RS00045	I6G83_RS00045			Gene			protein_coding	I6G83_RS00045	I6G83_00045																	
NZ_CP065640.1	Protein Homology	CDS	7348	8214	.	+	0	cds-WP_054306724.1	WP_054306724.1			CDS				I6G83_RS00045		gene-I6G83_RS00045	GO:0006355,GO:0003700	DNA-binding transcription factor activity|0003700||IEA	regulation of DNA-templated transcription|0006355||IEA	LysR family transcriptional regulator	WP_054306724.1											
NZ_CP065640.1	RefSeq	gene	8211	9869	.	-	.	gene-I6G83_RS00050	I6G83_RS00050			Gene			protein_coding	I6G83_RS00050	I6G83_00050																	
NZ_CP065640.1	Protein Homology	CDS	8211	9869	.	-	0	cds-WP_062779027.1	WP_062779027.1			CDS				I6G83_RS00050		gene-I6G83_RS00050	GO:0030976	thiamine pyrophosphate binding|0030976||IEA		thiamine pyrophosphate-binding protein	WP_062779027.1											
NZ_CP065640.1	RefSeq	gene	10164	10631	.	+	.	gene-I6G83_RS00055	I6G83_RS00055			Gene			protein_coding	I6G83_RS00055	I6G83_00055																	
NZ_CP065640.1	Protein Homology	CDS	10164	10631	.	+	0	cds-WP_072186179.1	WP_072186179.1			CDS				I6G83_RS00055		gene-I6G83_RS00055				DUF2502 domain-containing protein	WP_072186179.1											
NZ_CP065640.1	RefSeq	gene	10689	11930	.	-	.	gene-I6G83_RS00060	I6G83_RS00060			Gene			protein_coding	I6G83_RS00060	I6G83_00060																	
NZ_CP065640.1	Protein Homology	CDS	10689	11930	.	-	0	cds-WP_054307601.1	WP_054307601.1			CDS				I6G83_RS00060		gene-I6G83_RS00060	GO:0055085,GO:0022857,GO:0016020	transmembrane transporter activity|0022857||IEA	transmembrane transport|0055085||IEA	Nramp family divalent metal transporter	WP_054307601.1		membrane|0016020||IEA									
NZ_CP065640.1	RefSeq	gene	12310	13497	.	+	.	gene-I6G83_RS00065	I6G83_RS00065			Gene			protein_coding	I6G83_RS00065	I6G83_00065																	
NZ_CP065640.1	Protein Homology	CDS	12310	13497	.	+	0	cds-WP_054307602.1	WP_054307602.1			CDS				I6G83_RS00065		gene-I6G83_RS00065	GO:1901642,GO:0005337,GO:0015293,GO:0005886	nucleoside transmembrane transporter activity|0005337||IEA,symporter activity|0015293||IEA	nucleoside transmembrane transport|1901642||IEA	NupC/NupG family nucleoside CNT transporter	WP_054307602.1		plasma membrane|0005886||IEA									
NZ_CP065640.1	RefSeq	gene	13621	13696	.	-	.	gene-I6G83_RS00070	I6G83_RS00070			Gene			tRNA	I6G83_RS00070	I6G83_00070																	
NZ_CP065640.1	tRNAscan-SE	tRNA	13621	13696	.	-	.	rna-I6G83_RS00070				tRNA				I6G83_RS00070		gene-I6G83_RS00070				tRNA-Ala				(pos:complement(13661..13663))								
NZ_CP065640.1	tRNAscan-SE	exon	13621	13696	.	-	.	exon-I6G83_RS00070-1				tRNA				I6G83_RS00070		rna-I6G83_RS00070				tRNA-Ala				(pos:complement(13661..13663))								
NZ_CP065640.1	RefSeq	gene	13759	13834	.	-	.	gene-I6G83_RS00075	I6G83_RS00075			Gene			tRNA	I6G83_RS00075	I6G83_00075																	
NZ_CP065640.1	tRNAscan-SE	tRNA	13759	13834	.	-	.	rna-I6G83_RS00075				tRNA				I6G83_RS00075		gene-I6G83_RS00075				tRNA-Ala				(pos:complement(13799..13801))								
NZ_CP065640.1	tRNAscan-SE	exon	13759	13834	.	-	.	exon-I6G83_RS00075-1				tRNA				I6G83_RS00075		rna-I6G83_RS00075				tRNA-Ala				(pos:complement(13799..13801))								
NZ_CP065640.1	RefSeq	gene	14170	15585	.	-	.	gene-I6G83_RS00080	gltX			Gene			protein_coding	I6G83_RS00080	I6G83_00080							gltX										
NZ_CP065640.1	Protein Homology	CDS	14170	15585	.	-	0	cds-WP_061322634.1	WP_061322634.1			CDS				I6G83_RS00080		gene-I6G83_RS00080	GO:0006424,GO:0004818,GO:0009332	glutamate-tRNA ligase activity|0004818||IEA	glutamyl-tRNA aminoacylation|0006424||IEA	glutamate--tRNA ligase	WP_061322634.1	gltX	glutamate-tRNA ligase complex|0009332||IEA									
NZ_CP065640.1	RefSeq	gene	15879	15954	.	+	.	gene-I6G83_RS00085	I6G83_RS00085			Gene			tRNA	I6G83_RS00085	I6G83_00085																	
NZ_CP065640.1	tRNAscan-SE	tRNA	15879	15954	.	+	.	rna-I6G83_RS00085				tRNA				I6G83_RS00085		gene-I6G83_RS00085				tRNA-Val				(pos:15912..15914)								
NZ_CP065640.1	tRNAscan-SE	exon	15879	15954	.	+	.	exon-I6G83_RS00085-1				tRNA				I6G83_RS00085		rna-I6G83_RS00085				tRNA-Val				(pos:15912..15914)								
NZ_CP065640.1	RefSeq	gene	15982	16057	.	+	.	gene-I6G83_RS00090	I6G83_RS00090			Gene			tRNA	I6G83_RS00090	I6G83_00090																	
NZ_CP065640.1	tRNAscan-SE	tRNA	15982	16057	.	+	.	rna-I6G83_RS00090				tRNA				I6G83_RS00090		gene-I6G83_RS00090				tRNA-Val				(pos:16015..16017)								
